Classical;Basal;Normal_Stroma;Activated_Stroma
CLINT1;DPY30;CLN5;CTSC
CLIP2;DSC3;CLSTN2;CTSK
CLRN3;DSCR6;CMTM5;CTSL1
CLTB;DSG2;CNN1;CTSO
CMBL;DSG3;CNN3;CTSZ
CMPK1;DSP;CNR1;CTTNBP2NL
CMTM4;DTX2;CNRIP1;CXCL10
CNNM4;DTX3L;CNTFR;CXCL14
COBL;DUSP10;CNTN2;CXCL5
COPG;DUSP4;CNTN4;CXCR7
CORO2A;DUSP5;CNTNAP3;CYBB
CPA6;DUSP6;COL14A1;CYFIP1
CRB3;E2F7;COL21A1;CYP1B1
CREB3L4;ECE1;COL4A5;CYP26A1
CRIP1;EFNA5;COL4A6;CYR61
CTAGE3;EFNB2;COX7A1;CYTSB
CTAGE4;EGFR;CPEB1;DAB2
CTAGE5;EHF;CPXM2;DACT1
CTAGE6;EML2;CREBL2;DBN1
CTNNA1;EPAG;CREM;DCBLD1
CTSE;EPHA2;CRISPLD2;DCHS1
CXADR;EPHA4;CRLF1;DCLK3
CXADRP2;EPHB4;CRTAC1;DCN
CXADRP3;EPS8L2;CRTAP;DDR2
CXCL16;EREG;CRTC3;DENND5A
CYP2C18;ERMP1;CRYBG3;DFNA5
CYP2S1;ERO1L;CRYZL1;DGKI
CYP2W1;ETV6;CSGALNACT1;DIO2
CYP3A4;EXOC1;CSPG4;DISC1
CYP3A5;EZR;CSRNP2;DKFZP547L112
CYP3A7;F11R;CSRP1;DKFZP586H2123
CYP4F12;F3;CSRP2;DKFZP586K1520
CYP4F8;FAM122B;CTNNAL1;DKK3
DAB2IP;FAM122C;CTSF;DLC1
DAPK1;FAM126B;CUGBP2;DLX5
DAZL;FAM25C;CWF19L2;DMP1
DCDC1;FAM3C;CXCL12;DNAJB5
DDAH1;FAM60A;CXorf1;DNASE2
DDC;FAM71E1;CXorf36;DOCK1
DEFA5;FAM83A;CYBRD1;DOK5
DEFA6;FAM84B;CYP19A1;DPY19L3
DENND1B;FANK1;CYP26B1;DPYSL3
DEPDC6;FERMT1;CYP2U1;DPYSL4
DGAT1;FGD6;CYP7B1;DSE
DHDH;FGFBP1;CYTL1;DUSP14
DHRS11;FLJ32255;CYYR1;DYRK3
DKK4;FLJ39824;CYorf15A;DZIP1L
DMBT1;FLJ46111;DAAM2;ECM1
DNAH2;FLNB;DACT3;ECM2
DNAJC15;FNDC3B;DARC;EDIL3
DNAJC22;FOXC1;DBX2;EDNRA
DNM2;FRK;DCLK1;EFEMP2
DNMBP;FRMD5;DCLK2;EGFL6
DOK4;FSCN1;DCTN6;EGR1
DOPEY2;FSIP1;DDX3Y;EGR2
DPCR1;FZD6;DENND2A;EGR3
DPP4;GATA3;DES;EGR4
DQX1;GDE1;DGKG;EHD3
DRD1;GGNBP2;DIO3;EIF5A2
DSC2;GGPS1;DIP2C;ELK3
DTX4;GJB3;DIXDC1;ELN
DUOX2;GJB4;DKFZP564O0823;EMILIN1
DYNLT3;GJB5;DKFZp547K054;EMILIN2
DYRK2;GJB6;DMD;EMP1
EDAR;GJB7;DMRT3;EMR2
EDEM3;GNA15;DNAJC21;ENC1
EEPD1;GNB5;DOCK9;ENOX1
EFHD2;GNGT1;DOK6;ENPEP
EFNA3;GPD2;DPT;ENTHD1
EFNA4;GPR110;DPYSL2;ENTPD1
EGLN3;GPR115;DSTN;EPB41L2
ELF3;GPR143;DTWD1;EPB41L3
ELL3;GPR56;DUSP1;EPHB1
ELMO3;GPR81;DYNC1LI2;EPHB2
ELOVL7;GPR87;EBF1;EPSTI1
ENTPD8;GPRC5A;EBF2;EPYC
EPB41L1;GRAMD3;EBF3;ERMN
EPCAM;GRB7;ECSM2;ESM1
EPHA1;GRHL1;EDNRB;EVC
EPHA10;GRHL2;EFEMP1;F13A1
EPHB3;GSTO2;EFHA2;F2R
EPN3;GTPBP10;EFHD1;FAM101B
EPPK1;GULP1;EFS;FAM114A1
EPS8L1;H1F0;EGFLAM;FAM155A
EPS8L3;HAS3;EHBP1;FAM176B
ERBB2;HCG4;EIF3L;FAM19A5
ERBB3;HERC4;EIF4EBP2;FAM20A
ERN2;HES2;ELTD1;FAM20C
ETHE1;HIST1H2AB;EMCN;FAM26E
ETV4;HIST1H2AE;EML1;FAM38B
ETV7;HIST1H2BC;EMX2;FAP
EVI1;HIST1H2BD;EMX2OS;FARP1
EXPH5;HIST1H2BG;ENAH;FBLN2
F2RL1;HIST2H2BE;ENDOD1;FBN1
F5;HIST2H4B;ENPP2;FBN2
FA2H;HMGA2;ENPP3;FCER1G
FAAH;HN1L;EPC2;FCGR1B
FABP2;HORMAD1;EPHA5;FCGR2A
FABP6;HOXA10;EPHA7;FCGR3A
FADD;HOXA11AS;EPS15L2;FEM1B
FAM101A;HOXC10;EPS8;FGF1
FAM102A;HOXC13;ERG;FGF18
FAM107B;HOXC9;ESAM;FHOD3
FAM108C1;HPS3;EVC2;FKBP14
FAM132A;HPS4;EVI5;FKBP15
FAM135A;HRH1;EXOC6B;FKBP7
FAM150A;HS3ST1;EYA2;FKBP9
FAM3D;HTATIP2;FABP4;FKBP9L
FAM55B;HTR2C;FAM110B;FLJ11151
FAM81A;ID1;FAM114A2;FLJ22536
FAM83B;IDS;FAM124B;FLJ30064
